TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
155060,?,AC003985.1,729884,?,AC002347.2,,
90288,?,AC004540.4,1,A1BG,AC009123.1,,
10257,ABCC4,AC005726.6+SPAG5,54715,A2BP1,AC073464.11,,
9311,ACCN3,AC007834.3,26154,ABCA12,AC103564.7,,
93650,ACPT,AC008060.7,24,ABCA4,ACSS3,,
56,ACRV1,AC010423.1,8714,ABCC3,ACTG2,,
116285,ACSM1,AC011508.1,368,ABCC6,ADRA1D,,
2515,ADAM2,AC013470.8,730013,ABCC6P2,AL590226.1,,
8747,ADAM21,AC068858.1,6833,ABCC8,ALDH1A2,,
79924,ADM2,AC093388.3,10060,ABCC9,B3GALT2,,
113622,ADPRHL1,AC097468.5,225,ABCD2,BAI3,,
150,ADRA2A,AC104024.2,9429,ABCG2,BX470102.3,,
153,ADRB1,AC141930.2,64137,ABCG4,C11orf41,,
79814,AGMAT,ACRV1,57406,ABHD6,C3orf70,,
155465,AGR3,ADAMTS16,28,ABO,CAPG,,
26289,AK5,AE000661.37,26,ABP1,CCBE1,,
213,ALB,AKR1C3,32,ACACB,CHAD,,
220,ALDH1A3,AL035562.1,1636,ACE,CHST2,,
222,ALDH3B2,AL138815.1,59272,ACE2,CLCA2,,
246,ALOX15,ALAS2,125981,ACER1,COL17A1,,
23600,AMACR,ANGPTL3,26027,ACOT11,CPNE6,,
268,AMH,AP000884.4,8309,ACOX2,CSRP1,,
269,AMHR2,ASF1B,23205,ACSBG1,CTD-2062O1.3,,
27329,ANGPTL3,B4GALNT4,80221,ACSF2,CTF1,,
138649,ANKRD19,BARX1,2182,ACSL4,CYP27A1,,
340120,ANKRD34B,BLM,23305,ACSL6,DGKG,,
50636,ANO7,BUB1,79611,ACSS3,DMKN,,
321,APBA2,BUB1B,58,ACTA1,DUOX1,,
8862,APLN,C17orf55,59,ACTA2,DUOX2,,
341,APOC1,CCNA2,70,ACTC1,EDN3,,
344,APOC2,CCNB1,72,ACTG2,EFS,,
348,APOE,CDC20,88,ACTN2,ERAP2,,
319,APOF,CDC25C,161931,ADAD2,FAM107A,,
398,ARHGDIG,CDC45,53616,ADAM22,FAM83B,,
54848,ARHGEF38,CDC6,8745,ADAM23,FAT2,,
219681,ARMC3,CDCA3,10863,ADAM28,FGFR2,,
347527,ARSH,CDKN3,170689,ADAMTS15,FLRT3,,
55723,ASF1B,CDX1,170692,ADAMTS18,FOXN1,,
253982,ASPHD1,CELSR3,11096,ADAMTS5,FRMD6,,
259266,ASPM,COMP,57188,ADAMTSL3,GGT6,,
54829,ASPN,CPLX1,111,ADCY5,GJB4,,
285973,ATG9B,CPNE7,114,ADCY8,GJB5,,
474,ATOH1,CTB-1144G6.5,117,ADCYAP1R1,GLDN,,
220202,ATOH7,CTB-54I1.1,120,ADD3,GNAL,,
51761,ATP8A2,CTD-2334D19.1,125,ADH1B,GPR124,,
9212,AURKB,CTD-2547H18.1,136,ADORA2B,HRH2,,
27087,B3GAT1,CTD-3064M3.4,148,ADRA1A,IL17RE,,
79369,B3GNT4,CXorf48,147,ADRA1B,IL22RA1,,
192134,B3GNT6,D87023.1,146,ADRA1D,IQCA1,,
338707,B4GALNT4,DERL3,151,ADRA2B,KANK4,,
80115,BAIAP2L2,DLGAP5,155,ADRB3,KCNB1,,
8938,BAIAP3,E2F8,84632,AFAP1L2,KIAA1462,,
56033,BARX1,EPHA8,2334,AFF2,KRT15,,
606,BCL8,ERG,113146,AHNAK2,KRT16P1,,
389206,BEND4,ESPL1,196,AHR,KRT222+SMARCE1,,
636,BICD1,FAM57B,150209,AIFM3,KRT23,,
638,BIK,FAM64A,55057,AIM1L,KRT5,,
332,BIRC5,FBP2,55966,AJAP1,LAMB3,,
79444,BIRC7,GDF3,11217,AKAP2,LIX1,,
9024,BRSK2,GGCT,231,AKR1B1,LRP4,,
699,BUB1,GTSE1,1646,AKR1C2,MAP1LC3B2,,
701,BUB1B,HBQ1,8854,ALDH1A2,MCF2,,
79946,C10orf95,HJURP,160428,ALDH1L2,MEIS3P2,,
84915,C12orf34,IGHEP1,217,ALDH2,MPPED2,,
317761,C14orf39,IGLV4-3,218,ALDH3A1,MRVI1,,
283651,C15orf21,IL24,245,ALOX12P2,MYH11,,
414926,C15orf50,IQGAP3,154796,AMOT,MYL9,,
80178,C16orf59,KB-1043D8.6,273,AMPH,MYOCD,,
284083,C17orf47,KIAA1239,275,AMT,NCRNA00087,,
284185,C17orf55,KIF4A,284,ANGPT1,NGFR,,
360205,C17orf93,KIFC1,9068,ANGPTL1,NIPAL4,,
100170841,C17orf96,KLHL35,51129,ANGPTL4,NOS1,,
85019,C18orf45,KRTAP1-5,10218,ANGPTL7,NPAS4,,
147685,C19orf18,LBX2,287,ANK2,NPPC,,
148046,C19orf23,LDHC,26287,ANKRD2,NRG1,,
374877,C19orf45,LIN7A,148741,ANKRD35,P2RY2,,
84798,C19orf48,LMNB1,134548,ANKRD43,PAK3,,
352909,C19orf51,LRRC36,339416,ANKRD45,PAK7,,
79098,C1orf116,MGAT5B,79998,ANKRD53,PARM1,,
128229,C1orf182,MIP,55107,ANO1,PCSK2,,
149563,C1orf64,MLF1IP,121601,ANO4,PHYHIPL,,
126567,C2CD4C,MYBL2,203859,ANO5,PITPNM3,,
100132708,C2orf14,NCAPG,196527,ANO6,PLCH2,,
