canonical_smiles,pert_id,dummy
CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,BRD-A00100033,1
NC(Cc1c[nH]c2cccc(O)c12)C(O)=O,BRD-A00150179,1
CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1,BRD-A00267231,1
CCN1C2C(C(=NC2Nc3ccccc13)OC)c4ccccc4,BRD-A00420644,1
Oc1ccc(cc1)N1CCN(CC1)[S+]([O-])(=O)c1ccc2NC(=O)Cc2c1,BRD-A00474148,1
CCN(CC)CC1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,BRD-A00520476,1
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,BRD-A00546892,1
COc1ccc(cc1)C(CC(=O)N2CCCC(C)C2)c3c(O)cc(OC)cc3OC,BRD-A00626522,1
C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C,BRD-A00758722,1
COc1cc(ccc1O)C(O)C(C)N,BRD-A00763758,1
Cn1c2ncn(CC(O)CO)c2c(=O)n(C)c1=O,BRD-A00827783,1
CC(C)NCC(O)COc1ccccc1CC=C,BRD-A00993607,1
CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1,BRD-A01078468,1
OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O,BRD-A01145011,1
CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1,BRD-A01295252,1
CC(O)[C@H](O)C1=Nc2c(NC1)nc(N)[nH]c2=O,BRD-A01317026,1
OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1,BRD-A01320529,1
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,BRD-A01346607,1
CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C)C(=O)C,BRD-A01593789,1
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,BRD-A01636364,1
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C,BRD-A01643550,1
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,BRD-A01787639,1
CN(CCO)CC(O)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,BRD-A01826957,1
COc1ccc(cc1)C2C(C(=O)O)c3ccccc3C(=O)N2Cc4ccc(Cl)cc4,BRD-A01960364,1
CCC(=O)NC(c1ccco1)c1cc(Br)c2cccnc2c1O,BRD-A01973626,1
COc1ccc(cc1OC2CCOC2)C3=Nn4c(nnc4SC3)c5ccccc5C(F)(F)F,BRD-A01999384,1
CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,BRD-A02006392,1
CC(=C)C1Cc2c(O1)ccc(C(=O)O)c2O,BRD-A02176148,1
C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,BRD-A02180903,1
CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,BRD-A02189320,1
CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c5cccc1c25,BRD-A02198599,1
CC(O)c1cc2n(C)c3c(=O)n(Cc4ccccc4F)ncc3c2s1,BRD-A02241946,1
CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C,BRD-A02333338,1
C[C@]12CCC3C(CCc4cc(O)ccc34)C1CC[C@@]2(O)C#C,BRD-A02367930,1
CC(Nc1nc(nc2ccccc12)N3CCCC3)c4ccccc4,BRD-A02481876,1
COc1cc(cc(OC)c1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1,BRD-A02579693,1
CCC1(CCCCN(C)C1)c1cccc(O)c1,BRD-A02710418,1
CC(=O)O[C@@H]1CC2C(C)(C)C(=O)CC[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C=C4[C@]13C)c5ccoc5,BRD-A02713983,1
COc1ccc(cc1)C#Cc1ccc2N(C)[C@@H](CO)[C@@H]3CCN([C@@H]3c2c1)S(=O)(=O)C1=NC(C)C=N1,BRD-A02726762,1
CNC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NNc1ccccc1,BRD-A02747686,1
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BRD-A02759312,1
COc1ccc(cc1OC)C(=O)C2CCCN(CCc3ccccc3)C2,BRD-A02809788,1
OCCOc1ccccc1C1N2C(C(C(=O)N3CCCCCCC3)C11C(=O)Nc3ccccc13)C(=O)OC(C2c1ccccc1)c1ccccc1,BRD-A02836799,1
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,BRD-A02990301,1
Cc1onc(c1C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O)-c1ccccc1,BRD-A03044413,1
COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C,BRD-A03061970,1
CN1CCCCC1C(=O)Nc1c(C)cccc1C,BRD-A03216249,1
CC(C)C(NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)NC(CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,BRD-A03323675,1
OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,BRD-A03359064,1
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc3ccc(cc3)S(=O)C,BRD-A03427350,1
COc1cccc(c1)S(=O)(=O)NC2CCN(C2)C#N,BRD-A03436432,1
CC(C)c1ccc(cc1)C2C3CN(C)CC=C3C(C#N)(C#N)C(=C2C#N)N,BRD-A03520402,1
COCCc1ccc(OCC(O)CNC(C)C)cc1,BRD-A03623303,1
O=C1[C@H](Cc2ccccc2)CCn2cc(COCC3CCCN13)nn2,BRD-A03684405,1
COc1ccccc1C2N(C(=O)C3CCCN23)c4ccc(Cl)cc4,BRD-A03772856,1
CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,BRD-A03816571,1
NC1=C(C#N)C(c2ccc(Br)cc2)c3c(N1)c4ccccc4oc3=O,BRD-A03926027,1
[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1,BRD-A03946276,1
CCCCS(=N)(=O)CCC(N)C(=O)O,BRD-A04020513,1
CCCCCCCCNC(=O)C(Cc1ccc(OCc2ccncc2)cc1)NC(=O)C3CCC(CN)CC3,BRD-A04026261,1
COc1ccc2ccc(=O)oc2c1CC(O)C(C)(C)OC,BRD-A04172077,1
CN1CCc2c(Cl)c(O)c(O)cc2C(C1)c3cccc(C)c3,BRD-A04260165,1
COC(=O)C1=COC(O)C2C1CC=C2CO,BRD-A04308630,1
CNCC(O)c1ccc(O)cc1,BRD-A04327189,1
CC(=O)NCC(O)c1ccc(O)cc1,BRD-A04332542,1
CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,BRD-A04352665,1
CC(C)(C)OC(=O)NCC(=O)NNC(=O)C(C(=O)OCc1ccccc1)c2ccccc2,BRD-A04392722,1
Oc1cc2C(CN(CC=C)CCc2c(Cl)c1O)c3ccccc3,BRD-A04438777,1
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,BRD-A04553218,1
CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1,BRD-A04668240,1
CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC,BRD-A04706586,1
CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C,BRD-A04756508,1
NC1CCc2ccccc2C1,BRD-A04831598,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,BRD-A05186015,1
CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,BRD-A05352148,1
COC(=O)C1=C(C)NC(C)=C(C1c1ccccc1C(F)(F)F)[N+]([O-])=O,BRD-A05457250,1
CCC1CCCCN1C(=O)n1cc(nn1)C(O)(c1ccccc1)c1ccccc1,BRD-A05565054,1
NCCCC1(OCc2cc(ccc12)[N+]#[C-])c1ccc(F)cc1,BRD-A05581237,1
CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC2CCCc3ccccc23,BRD-A05680309,1
CCOC(=O)C12CC1\C(=N/O)c1ccccc1O2,BRD-A05729358,1
COc1ccc(cc1COc1ccc(NC(C)=O)cc1)C1NC(=O)c2ccccc2N1,BRD-A05831822,1
NC(C(OCc1ccccc1)C(=O)O)C(=O)O,BRD-A05874290,1
CC(C)C1CCC(C)C(C(O)c2ccc(cc2)c3ccccc3)C1=O,BRD-A06131576,1
Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6n(Cc8ccccc8)c9ccccc79,BRD-A06276885,1
COC1CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,BRD-A06304526,1
CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,BRD-A06352418,1
O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13,BRD-A06352508,1
CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,BRD-A06390036,1
CC(C)Oc1cccc(c1)C(=O)C2CCCN(Cc3cnn(c3)C(C)C)C2,BRD-A06641369,1
CC(Sc1nc2cc(Cl)ccc2s1)C(=O)Nc3cccc(c3)S(=O)(=O)N4CCOCC4,BRD-A06664848,1
CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C3O[C@H]4COP(=O)(O)O[C@@H]4[C@@H]3OC(=O)CCC,BRD-A06726973,1
COc1cc(cc(OC)c1OC)C(O)CN,BRD-A06779035,1
CCOC(=O)C1=C(C)NC(=C(C1C#Cc2ccccc2)C(=O)OCc3ccc(cc3)[N+](=O)[O-])c4ccccc4,BRD-A06784547,1
O=C1N(Cc2ccccc2)c2ccccc2C11NNc2ccccc2O1,BRD-A06909528,1
CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1,BRD-A06929388,1
C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O,BRD-A07000685,1
CC(C)[N+]1(C)C2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,BRD-A07029265,1
NC(Cc1c[nH]c2ccccc12)C(=O)O,BRD-A07106394,1
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,BRD-A07395371,1
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,BRD-A07440155,1
CCOc1ccc(cc1)C(Nc2cccnc2)c3cc(Cl)c4cccnc4c3O,BRD-A07614565,1
CNCC(O)c1ccc(O)c(O)c1,BRD-A07765530,1
CC(C)NCC(O)c1cc(O)cc(O)c1,BRD-A07780951,1
O=C1CC(Oc2ccccc12)c3ccccc3,BRD-A07824748,1
COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCC=Cc3ccccc3)C,BRD-A07875874,1
NC(CCC(O)=O)C=C,BRD-A07893380,1
CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1,BRD-A07932845,1
CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O,BRD-A08003242,1
CC(CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BRD-A08027849,1
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,BRD-A08062015,1
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,BRD-A08187463,1
NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,BRD-A08200164,1
CC(Cc1ccccc1)N(C)Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,BRD-A08255417,1
CCOC(=O)CCCC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12,BRD-A08610364,1
CC1CC(=O)NN=C1c1ccc(F)c(F)c1,BRD-A08658758,1
