Drug,geneName,log2FoldChange,padj no NA
Enzalutamide,DDX11L1,0.059116185,1
Enzalutamide,WASH7P,0.12161114,1
Enzalutamide,MIR6859-1,0.311926683,1
Enzalutamide,MIR1302-2HG,-0.208880334,1
Enzalutamide,FAM138A,2.844843091,1
Enzalutamide,AL627309.1,0.497144465,1
Enzalutamide,CICP27,0.818474474,1
Enzalutamide,AL627309.6,0.358528867,1
Enzalutamide,AL627309.7,0.609848324,1
Enzalutamide,AL627309.2,0.39232498,1
Enzalutamide,AL627309.5,0.360015611,1
Enzalutamide,FO538757.2,1.175672123,1
Enzalutamide,FO538757.1,0.091929928,1
Enzalutamide,MIR6859-2,-0.007607267,1
Enzalutamide,AP006222.1,0.298887513,1
Enzalutamide,RPL23AP24,-0.379407999,1
Enzalutamide,AL732372.1,0.999818753,1
Enzalutamide,AL732372.2,0.320778171,1
Enzalutamide,CICP7,0.303777618,1
Enzalutamide,AL732372.3,0.091461661,1
Enzalutamide,AL669831.3,0.175687618,1
Enzalutamide,AC114498.1,0.968932157,1
Enzalutamide,MTND1P23,0.261227202,1
Enzalutamide,MTND2P28,-0.017397022,1
Enzalutamide,MTCO1P12,0.007281817,1
Enzalutamide,MTCO2P12,0.09494497,1
Enzalutamide,MTATP8P1,-0.527022273,1
Enzalutamide,MTATP6P1,0.011183805,1
Enzalutamide,MTCO3P12,0.030434988,1
Enzalutamide,CICP3,0.682806631,1
Enzalutamide,AL669831.1,0.197144376,1
Enzalutamide,AL669831.5,0.518411711,1
Enzalutamide,AL669831.4,0.989636537,1
Enzalutamide,FAM87B,0.927799338,0.352802459
Enzalutamide,LINC01128,0.334795767,0.082883739
Enzalutamide,LINC00115,0.082540869,1
Enzalutamide,FAM41C,-0.747971807,1
Enzalutamide,TUBB8P11,-0.954646314,1
Enzalutamide,AL645608.6,0.311795285,1
Enzalutamide,AL645608.2,0.060004764,1
Enzalutamide,AL645608.4,-0.00109346,1
Enzalutamide,LINC02593,0.017964368,1
Enzalutamide,SAMD11,-0.053120122,1
Enzalutamide,NOC2L,-0.063968171,1
Enzalutamide,KLHL17,-0.21111285,1
Enzalutamide,PLEKHN1,-0.01540468,1
Enzalutamide,PERM1,-0.086759017,1
Enzalutamide,AL645608.7,-0.135175783,1
Enzalutamide,HES4,-0.096219587,1
Enzalutamide,ISG15,-0.042570999,1
Enzalutamide,AL645608.3,0.968921696,1
Enzalutamide,AL645608.1,0.395967041,1
Enzalutamide,AGRN,0.02024157,1
Enzalutamide,AL390719.1,0.115197989,1
Enzalutamide,AL645608.8,1.406476968,1
Enzalutamide,RNF223,-0.267640726,1
Enzalutamide,C1orf159,0.112246845,1
Enzalutamide,AL390719.3,-0.595031476,1
Enzalutamide,MIR200B,-1.183327327,1
Enzalutamide,MIR200A,1.878221185,1
Enzalutamide,MIR429,0.756132976,1
Enzalutamide,AL390719.2,0.558617859,1
Enzalutamide,TTLL10,1.422953255,1
Enzalutamide,TNFRSF18,-0.079210636,1
Enzalutamide,TNFRSF4,-0.954650644,1
Enzalutamide,SDF4,-0.051185291,1
Enzalutamide,B3GALT6,-0.152682877,1
Enzalutamide,C1QTNF12,-0.343814764,1
Enzalutamide,AL162741.1,-1.151289187,1
Enzalutamide,UBE2J2,-0.114635356,1
Enzalutamide,LINC01786,-0.006051521,1
Enzalutamide,SCNN1D,0.214888905,1
Enzalutamide,ACAP3,-0.037334358,1
Enzalutamide,PUSL1,-0.138048064,1
Enzalutamide,INTS11,-0.043465183,1
Enzalutamide,AL139287.1,0.131941971,1
Enzalutamide,CPTP,-0.044196333,1
Enzalutamide,TAS1R3,-0.10915451,1
Enzalutamide,DVL1,0.007156504,1
Enzalutamide,MXRA8,0.022181239,1
Enzalutamide,AURKAIP1,-0.063329849,1
Enzalutamide,NDUFB4P8,2.158626484,1
